Line,No,REGIST,MIC001,MIC004,CHART,MIC005,MIC006,MIC007,MIC008,MI0002,MI0001,MCE0040,MI0979,MI1070,MI0959,MI0248,備考
,65,,8117,中央自動車工業,,東Ｓ,卸売業,他個人サービス・製品,自動車メンテ用品,914.91,"4,570.0",8.00,3.06,コーティング剤など自社企画の自動車用品を販売。自動車補修部品の輸出事業も。好財務,16.22,0.00,
,66,,8130,サンゲツ,,東Ｐ、名Ｐ,卸売業,住宅設備・機器,住宅資材・設備,"1,712.65","2,893.0",10.00,5.18,インテリア最大手。壁紙は首位、カーテンや床材も有力。専門人材採用で空間デザイン力を強化,10.31,0.00,
,67,,8252,丸井グループ,,東Ｐ,小売業,百貨店,百貨店,"5,187.29","2,486.0",5.00,4.26,小売店は自社での販売から賃貸へ移行。自社『エポスカード』による割賦販売・手数料収入が柱,10.46,0.00,
,68,,8418,山口Fグループ,,東Ｐ,銀行業,地方銀行,地方銀行,"3,787.97","1,613.5",17.00,3.71,傘下に山口銀、もみじ銀、北九州銀。証券やリースにも展開し、金融コングロマリット化を標榜,5.05,―,
,69,,8424,芙蓉総合リース,,東Ｐ,その他金融業,リース・消費者金融,リース,"3,424.03","11,305.0",10.00,4.15,みずほ（旧富士銀）系。不動産リースに強み。再エネ投資や事業運営に傾注。買収でＢＰＯも拡充,10.42,5.83,
,70,,8425,みずほリース,,東Ｐ,その他金融業,リース・消費者金融,リース,"2,883.19","1,020.0",1.60,3.92,旧興銀系、みずほＦＧの顧客基盤活用。みずほＦＧ、丸紅の持分会社。持分会社にリコーリース,12.94,0.00,
,71,,8566,リコーリース,,東Ｐ,その他金融業,リース・消費者金融,リース,"1,574.65","5,040.0",25.00,4.06,リコー系。中小企業が顧客基盤。集金代行や投資事業など強化。みずほリースと資本業務提携,6.84,0.94,
,72,,8593,三菱HCキャピタル,,東Ｐ,その他金融業,リース・消費者金融,リース,"14,823.14","1,010.5",3.00,3.95,三菱ＵＦＪグループ。日立キャピタルと２１年４月統合。リース首位級。Ｍ＆Ａで海外展開加速,8.18,―,
,73,,8630,SOMPOHLD,,東Ｐ,保険業,損害保険,損害保険,"39,668.80","4,005.0",32.00,3.24,３メガ損保の一角。国内生保、海外損保の拡大推進。介護・ヘルスケアも収益の柱へと強化中,14.72,―,
,74,,8725,MS&ADHLD,,東Ｐ、名Ｐ,保険業,損害保険,損害保険,"51,533.09","3,204.0",55.00,4.36,損保首位級。傘下に三井住友海上、あいおいニッセイ同和。生保育成、アジア軸に欧米も拡大,14.10,―,
,75,,8804,東京建物,,東Ｐ,不動産業,不動産(非住宅),総合不動産,"5,242.78","2,506.5",17.00,3.19,旧安田系の総合不動産。賃貸ビルとマンションが主力。オフィスや物流など収益物件開発を強化,12.47,0.00,
,76,,9303,住友倉庫,,東Ｐ,倉庫・運輸関連業,倉庫・運輸サービス,倉庫,"2,153.94","2,718.0",0.00,3.71,倉庫大手で総合物流展開、傘下に遠州トラック。海運子会社売却。不動産賃貸下支え。土地含み大,4.89,0.00,
,77,,9432,NTT,,東Ｐ,情報・通信業,通信サービス,総合通信会社,"139,175.83",153.7,0.10,3.38,ＮＴＴグループ持株会社。ドコモ主力。固定電話独占、光回線高シェア。海外開拓・提携に注力,11.20,0.27,
