stock_code,company_name,market_cap,bs_securities_assets,pl_dividend_income,asset_ratio,dividend_ratio
6838,株式会社多摩川ホールディングス,4824406400.0,229627000.0,0.0,0.05,0.0
1835,東鉄工業株式会社,148551500000.0,15046446000.0,333820000.0,0.1,0.02
4256,株式会社サインド,6344100000.0,0.0,0.0,0.0,0.0
1815,鉄建建設株式会社,45443055000.0,23020000000.0,718000000.0,0.51,0.03
7277,株式会社ＴＢＫ,9268760025.0,3364000000.0,155000000.0,0.36,0.05
6555,株式会社ＭＳ＆Ｃｏｎｓｕｌｔｉｎｇ,1880336600.0,9278000.0,0.0,0.0,0.0
6522,株式会社アスタリスク,2880927000.0,101250000.0,1525000.0,0.04,0.02
7426,株式会社　山大,1311635000.0,21972000.0,1966000.0,0.02,0.09
7317,株式会社松屋アールアンドディ,14918617200.0,0.0,749000000.0,0.0,0.0
9345,ビズメイツ株式会社,3809500000.0,0.0,0.0,0.0,0.0
2186,ソーバル株式会社,7612108136.0,23842000.0,0.0,0.0,0.0
6345,株式会社アイチコーポレーション,100072940000.0,5395663000.0,183896000.0,0.05,0.03
4985,アース製薬株式会社,105492750000.0,5440000000.0,90000000.0,0.05,0.02
5199,不二ラテックス株式会社,2482364070.0,193788000.0,9111000.0,0.08,0.05
4344,ソースネクスト株式会社,24344302500.0,2152084000.0,0.0,0.09,0.0
8920,株式会社　東　祥,24904750000.0,0.0,191879000.0,0.0,0.0
3073,株式会社ＤＤグループ,31299712224.0,1424000000.0,12000000.0,0.05,0.01
5711,三菱マテリアル株式会社,296245922355.0,310772000000.0,20197000000.0,1.05,0.06
5232,住友大阪セメント株式会社,126500086702.0,39372000000.0,1300000000.0,0.31,0.03
8742,株式会社小林洋行,3678433047.0,2198450000.0,55038000.0,0.6,0.03
3131,シンデン・ハイテックス株式会社,6030951600.0,25000000.0,320800000.0,0.0,12.83
7199,プレミアグループ株式会社,87972168900.0,7000000.0,0.0,0.0,0.0
6837,株式会社京写,5688736000.0,592000000.0,11000000.0,0.1,0.02
7673,ダイコー通産株式会社,7732531000.0,546905000.0,6194000.0,0.07,0.01
9903,株式会社カンセキ,7156450000.0,2566309000.0,62562000.0,0.36,0.02
8830,住友不動産株式会社,2618472879000.0,842125000000.0,19295000000.0,0.32,0.02
7730,マニー株式会社,130008981555.0,303000000.0,394000000.0,0.0,1.3
6305,日立建機株式会社,929727194236.0,11715000000.0,80590000000.0,0.01,6.88
4412,株式会社サイエンスアーツ,7717143600.0,10000000.0,0.0,0.0,0.0
6472,ＮＴＮ株式会社,130346944024.94812,23235000000.0,101000000.0,0.18,0.0
4194,ビジョナル株式会社,431900679500.0,687000000.0,0.0,0.0,0.0
5969,株式会社ロブテックス,2514000000.0,657409000.0,22020000.0,0.26,0.03
3583,オーベクス株式会社,3995668916.0,124970000.0,3378000.0,0.03,0.03
7999,ＭＵＴＯＨホールディングス株式会社,14001845860.0,3857000000.0,1000000.0,0.28,0.0
9251,株式会社ＡＢ＆Ｃｏｍｐａｎｙ,14644283724.0,0.0,0.0,0.0,0.0
1951,エクシオグループ株式会社,404626248000.0,32531000000.0,670000000.0,0.08,0.02
2410,株式会社キャリアデザインセンター,10501029110.0,0.0,0.0,0.0,0.0
9214,Ｒｅｃｏｖｅｒｙ　Ｉｎｔｅｒｎａｔｉｏｎａｌ株式会社,1958390000.0,0.0,0.0,0.0,0.0
7717,株式会社ブイ・テクノロジー,29297788800.0,1046000000.0,76000000.0,0.04,0.07
1860,戸田建設株式会社,307329840000.0,185721000000.0,4477000000.0,0.6,0.02
5279,日本興業株式会社,4062864000.0,656933000.0,19817000.0,0.16,0.03
7443,横浜魚類株式会社,3761420000.0,748313000.0,21472000.0,0.2,0.03
3772,ウェルス・マネジメント株式会社,19237339400.0,3748981000.0,500209000.0,0.19,0.13
7942,株式会社ジェイエスピー,58177751996.0,1728000000.0,39000000.0,0.03,0.02
9962,株式会社　ミスミグループ本社,584081793000.0,1224000000.0,0.0,0.0,0.0
3489,株式会社フェイスネットワーク,22230720000.0,0.0,0.0,0.0,0.0
3355,クリヤマホールディングス株式会社,33115500000.0,7893602000.0,70752000.0,0.24,0.01
3600,株式会社フジックス,2309164000.0,1983404000.0,49176000.0,0.86,0.02
6276,シリウスビジョン株式会社,1630912500.0,446107000.0,10332000.0,0.27,0.02
7450,株式会社サンデー,11509836000.0,135649000.0,4183000.0,0.01,0.03
5888,ＤＡＩＷＡ　ＣＹＣＬＥ株式会社,10182095000.0,0.0,3410000.0,0.0,0.0
3050,ＤＣＭホールディングス株式会社,207151000000.0,35869000000.0,715000000.0,0.17,0.02
6486,イーグル工業株式会社,96379309000.0,18196000000.0,52000000.0,0.19,0.0
8566,リコーリース株式会社,170586780000.0,43452000000.0,359000000.0,0.25,0.01
3003,ヒューリック株式会社,1111546446412.5,420487000000.0,4025000000.0,0.38,0.01
3856,Ａｂａｌａｎｃｅ株式会社,14521431330.0,2582000000.0,18000000.0,0.18,0.01
