stock_code,company_name,market_cap,bs_securities_assets,pl_dividend_income,current_net_sales,operating_income,asset_ratio,dividend_ratio,operating_margin,sales_growth_rate
4970,東洋合成工業株式会社,38762536400.0,472000000.0,13000000.0,38665000000.0,4103000000.0,0.01,0.03,10.61,20.99
6838,株式会社多摩川ホールディングス,4824406400.0,229627000.0,0.0,2356418000.0,201995000.0,0.05,0.0,8.57,-43.27
1835,東鉄工業株式会社,148551500000.0,15046446000.0,333820000.0,160047602000.0,15526012000.0,0.1,0.02,9.7,12.83
4256,株式会社サインド,6344100000.0,0.0,0.0,2241255000.0,237079000.0,0.0,0.0,10.58,14.82
1815,鉄建建設株式会社,45443055000.0,23020000000.0,718000000.0,185114000000.0,3459000000.0,0.51,0.03,1.87,0.83
7277,株式会社ＴＢＫ,9268760025.0,3364000000.0,155000000.0,54415000000.0,941000000.0,0.36,0.05,1.73,-3.96
6555,株式会社ＭＳ＆Ｃｏｎｓｕｌｔｉｎｇ,1880336600.0,9278000.0,0.0,2437952000.0,0.0,0.0,0.0,0.0,6.55
6522,株式会社アスタリスク,2880927000.0,101250000.0,1525000.0,1578458000.0,4545000.0,0.04,0.02,0.29,-10.31
7426,株式会社　山大,1311635000.0,21972000.0,1966000.0,4138547000.0,39475000.0,0.02,0.09,0.95,-7.63
7317,株式会社松屋アールアンドディ,14918617200.0,0.0,749000000.0,9567398000.0,1953593000.0,0.0,0.0,20.42,13.44
9345,ビズメイツ株式会社,3809500000.0,0.0,0.0,3474071000.0,378879000.0,0.0,0.0,10.91,10.81
2186,ソーバル株式会社,7612108136.0,23842000.0,0.0,8682548000.0,612241000.0,0.0,0.0,7.05,6.28
6345,株式会社アイチコーポレーション,100072940000.0,5395663000.0,183896000.0,59306955000.0,7440210000.0,0.05,0.03,12.55,11.63
4985,アース製薬株式会社,105492750000.0,5440000000.0,90000000.0,169278000000.0,6425000000.0,0.05,0.02,3.8,6.91
5199,不二ラテックス株式会社,2482364070.0,193788000.0,9111000.0,7198559000.0,208543000.0,0.08,0.05,2.9,-4.12
4344,ソースネクスト株式会社,24344302500.0,2152084000.0,0.0,11455896000.0,0.0,0.09,0.0,0.0,1.07
8920,株式会社　東　祥,24904750000.0,0.0,191879000.0,35619427000.0,5884957000.0,0.0,0.0,16.52,15.17
3073,株式会社ＤＤグループ,31299712224.0,1424000000.0,12000000.0,38578000000.0,3738000000.0,0.05,0.01,9.69,4.04
5711,三菱マテリアル株式会社,296245922355.0,310772000000.0,20197000000.0,1962076000000.0,37118000000.0,1.05,0.06,1.89,27.35
5232,住友大阪セメント株式会社,126500086702.0,39372000000.0,1300000000.0,219465000000.0,9351000000.0,0.31,0.03,4.26,-1.36
8742,株式会社小林洋行,3678433047.0,2198450000.0,55038000.0,2307095000.0,181280000.0,0.6,0.03,7.86,4.5
3131,シンデン・ハイテックス株式会社,6030951600.0,25000000.0,320800000.0,43745219000.0,1400721000.0,0.0,12.83,3.2,3.45
7199,プレミアグループ株式会社,87972168900.0,7000000.0,0.0,0.0,3939000000.0,0.0,0.0,0.0,0.0
6837,株式会社京写,5688736000.0,592000000.0,11000000.0,26229000000.0,1277000000.0,0.1,0.02,4.87,6.71
7673,ダイコー通産株式会社,7732531000.0,546905000.0,6194000.0,17222103000.0,885724000.0,0.07,0.01,5.14,0.43
9903,株式会社カンセキ,7156450000.0,2566309000.0,62562000.0,36552288000.0,538848000.0,0.36,0.02,1.47,0.55
8830,住友不動産株式会社,2618472879000.0,842125000000.0,19295000000.0,472571000000.0,271516000000.0,0.32,0.02,57.46,6.34
7730,マニー株式会社,130008981555.0,303000000.0,394000000.0,28513000000.0,8392000000.0,0.0,1.3,29.43,16.44
6305,日立建機株式会社,929727194236.0,11715000000.0,80590000000.0,723660000000.0,2186000000.0,0.01,6.88,0.3,-10.72
4412,株式会社サイエンスアーツ,7717143600.0,10000000.0,0.0,1184775000.0,4510000.0,0.0,0.0,0.38,53.5
6472,ＮＴＮ株式会社,130346944024.94812,23235000000.0,101000000.0,825587000000.0,22959000000.0,0.18,0.0,2.78,-1.28
4194,ビジョナル株式会社,431900679500.0,687000000.0,0.0,66146000000.0,17837000000.0,0.0,0.0,26.97,17.54
5969,株式会社ロブテックス,2514000000.0,657409000.0,22020000.0,5708563000.0,205821000.0,0.26,0.03,3.61,-3.66
3583,オーベクス株式会社,3995668916.0,124970000.0,3378000.0,6035997000.0,841405000.0,0.03,0.03,13.94,12.05
7999,ＭＵＴＯＨホールディングス株式会社,14001845860.0,3857000000.0,1000000.0,18128000000.0,1317000000.0,0.28,0.0,7.27,3.55
